"SR. NO.","Date","Day","Occasion"

"1","26/1/2021 ","Tuesday","Republic Day"
"2","11/3/2021 ","Thursday","Mahashivratri"
"3","29/3/2021 ","Monday","Holi"
"4","02/4/2021 ","Friday","Good Friday"
"5","14/4/2021 ","Wednesday","Dr.Baba Saheb Ambedkar Jayanti"
"6","21/4/2021 ","Wednesday","Ram Navami"
"7","13/5/2021 ","Thursday","Id-Ul-Fitr (Ramzan ID)"
"8","21/7/2021 ","Wednesday","Bakri Id"
"9","19/8/2021 ","Thursday","Moharram"
"10","10/9/2021 ","Friday","Ganesh Chaturthi"
"11","15/10/2021 ","Friday","Dussehra"
"12","04/11/2021 ","Thursday","Diwali-Laxmi Pujan*"
"13","05/11/2021 ","Friday","Diwali-Balipratipada"
"14","19/11/2021 ","Friday","Gurunanak Jayanti"
"15","26/1/2022 ","Wednesday","Republic Day"
"16","01/3/2022 ","Tuesday","Mahashivratri"
"17","18/3/2022 ","Friday","Holi"
"18","14/4/2022 ","Thursday","Dr. Baba Saheb Ambedkar Jayanti/ Mahavir Jayanti"
"19","15/4/2022 ","Friday","Good Friday"
"20","03/5/2022 ","Tuesday","Id-Ul-Fitr (Ramzan ID)"
"21","09/8/2022 ","Tuesday","Moharram"
"22","15/8/2022 ","Monday","Independence Day"
"23","31/8/2022 ","Wednesday","Ganesh Chaturthi"
"24","05/10/2022 ","Wednesday","Dussehra"
"25","24/10/2022 ","Monday","Diwali-Laxmi Pujan*"
"26","26/10/2022 ","Wednesday","Diwali-Balipratipada"
"27","08/11/2022 ","Tuesday","Gurunanak Jayanti"
"28","26/1/2023 ","Thursday","Republic Day"
"29","07/3/2023 ","Tuesday","Holi"
"30","30/3/2023 ","Thursday","Ram Navami"
"31","04/4/2023 ","Tuesday","Mahavir Jayanti"
"32","07/4/2023 ","Friday","Good Friday"
"33","14/4/2023 ","Friday","Dr. Baba Saheb Ambedkar Jayanti"
"34","01/5/2023 ","Monday","Maharashtra Day"
"35","29/6/2023 ","Thursday","Bakri Id"
"36","15/8/2023 ","Tuesday","Independence Day"
"37","19/9/2023 ","Tuesday","Ganesh Chaturthi"
"38","02/10/2023 ","Monday","Mahatma Gandhi Jayanti"
"39","24/10/2023 ","Tuesday","Dussehra"
"40","14/11/2023 ","Tuesday","Diwali-Balipratipada"
"41","27/11/2023 ","Monday","Gurunanak Jayanti"
"42","25/12/2023 ","Monday","Christmas"
"43","22/1/2024 ","Monday","Special Holiday"
"44","26/1/2024 ","Friday","Republic Day"
"45","08/3/2024 ","Friday","Mahashivratri"
"46","25/3/2024 ","Monday","Holi"
"47","29/3/2024 ","Friday","Good Friday"
"48","11/4/2024 ","Thursday","Id-Ul-Fitr (Ramadan Eid)"
"49","17/4/2024 ","Wednesday","Shri Ram Navmi"
"50","01/5/2024 ","Wednesday","Maharashtra Day"
"51","20/5/2024 ","Monday","General Parliamentary Elections"
"52","17/6/2024 ","Monday","Bakri Id"
"53","17/7/2024 ","Wednesday","Moharram"
"54","15/8/2024 ","Thursday","Independence Day/Parsi New Year"
"55","02/10/2024 ","Wednesday","Mahatma Gandhi Jayanti"
"56","01/11/2024 ","Friday","Diwali Laxmi Pujan*"
"57","15/11/2024 ","Friday","Gurunanak Jayanti"
"58","25/12/2024 ","Wednesday","Christmas"
"59","26/2/2025 ","Wednesday","Mahashivratri"
"60","14/3/2025 ","Friday","Holi"
"61","31/3/2025 ","Monday","Id-Ul-Fitr (Ramadan Eid)"
"62","10/4/2025 ","Thursday","Shri Mahavir Jayanti"
"63","14/4/2025 ","Monday","Dr. Baba Saheb Ambedkar Jayanti"
"64","18/4/2025 ","Friday","Good Friday"
"65","01/5/2025 ","Thursday","Maharashtra Day"
"66","15/8/2025 ","Friday","Independence Day"
"67","27/8/2025 ","Wednesday","Ganesh Chaturthi"
"68","02/10/2025 ","Thursday","Mahatma Gandhi Jayanti/Dussehra"
"69","21/10/2025 ","Tuesday","Diwali Laxmi Pujan*"
"70","22/10/2025 ","Wednesday","Diwali-Balipratipada"
"71","05/11/2025 ","Wednesday","Prakash Gurpurb Sri Guru Nanak Dev"
"72","25/12/2025 ","Thursday","Christmas"
""
"*Muhurat Trading will be conducted. Timings of Muhurat Trading shall be notified subsequently by NSE."